GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,LiberacionController,23,0,2,0,6,0,3,0,2,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,ClienteController,759,0,62,0,129,0,57,0,25,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,AdminController,50,0,0,0,9,0,8,0,8,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,ManzanaController.ManzanaOptionDto,9,0,0,0,1,0,1,0,1,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,CronogramaController,75,0,0,0,17,0,6,0,6,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,ParcelaController,47,0,0,0,9,0,7,0,7,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,RegistroAuditoriaController,276,0,44,0,66,0,32,0,10,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,RegistroAuditoriaController.RegistroAuditoriaResponse,54,0,0,0,1,0,1,0,1,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,ReniecController,45,0,2,0,9,0,3,0,2,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,DevolucionController,43,0,4,0,6,0,6,0,4,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,AuthController,69,0,8,0,9,0,9,0,5,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,AppSettingController,27,0,2,0,4,0,3,0,2,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,TerrenoPropioController,92,4,4,0,18,1,9,1,7,1
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,EtapaController,48,4,0,0,10,1,5,1,5,1
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,UserController,22,0,0,0,4,0,4,0,4,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,RegistroAuditoriaController.ItemUpdateRequest,6,0,0,0,1,0,1,0,1,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,LotePorManzanaController,145,0,24,0,32,0,14,0,2,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,ProjectController,335,4,26,0,60,1,21,1,8,1
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,ProformaController,145,0,12,0,23,0,11,0,5,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,LoteController,50,0,0,0,9,0,7,0,7,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.controller,ManzanaController,113,0,8,0,23,0,9,0,5,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,ProjectService,272,187,21,13,51,42,22,7,8,4
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,DniApiService.DniApiResponse,15,0,0,0,6,0,1,0,1,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,LiberacionService,152,690,79,69,18,141,81,25,10,22
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,ClienteService,579,85,47,1,121,22,44,3,20,3
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,CronogramaService,3430,11,458,0,755,2,298,1,69,1
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,UserService,118,0,2,0,26,0,9,0,8,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,RecoveryEmailService,136,0,14,0,32,0,8,0,1,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,JwtService,112,3,4,0,27,1,12,1,10,1
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,DevolucionService,460,0,14,0,121,0,19,0,12,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,ProformaService,417,4,36,0,98,1,30,1,12,1
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,EtapaService,225,38,8,0,43,11,12,3,8,3
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,DniApiService,333,7,46,0,69,2,28,2,5,2
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,RegistroAuditoriaService,207,0,20,0,53,0,17,0,7,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,AppSettingService,31,0,0,0,7,0,2,0,2,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,AuthService,672,0,66,0,153,0,51,0,18,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,TerrenoPropioService,338,0,20,0,86,0,23,0,13,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,CronogramaService.TitularesInfo,9,0,0,0,1,0,1,0,1,0
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,ParcelaService,129,176,3,5,29,45,9,8,7,6
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,LoteService,601,175,76,8,126,41,54,9,12,9
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,AdminService,287,4,14,0,54,1,26,1,19,1
Sistema Inmobiliario Backend,com.sisarovi.inmobiliario.service,CronogramaService.UbicacionLoteInfo,27,0,0,0,8,0,2,0,2,0
